"time","state.hour","state.value"
"2022-01-21T18:51:06.819+03:00",,"0"
"2022-01-21T19:51:10.934+03:00",,"0"
"2022-01-21T20:13:05.275+03:00",,"1"
"2022-01-21T20:14:11.466+03:00",,"0"
"2022-01-21T20:51:12.030+03:00",,"0"
"2022-01-21T21:51:13.703+03:00",,"0"
"2022-01-21T22:51:14.995+03:00",,"0"
"2022-01-21T23:00:27.865+03:00",,"1"
"2022-01-21T23:51:17.185+03:00",,"0"
"2022-01-22T00:51:19.809+03:00",,"0"
"2022-01-22T01:51:21.212+03:00",,"0"
"2022-01-22T02:03:32.122+03:00",,"0"
"2022-01-22T02:51:21.846+03:00",,"0"
"2022-01-22T05:51:25.655+03:00",,"0"
"2022-01-22T06:51:26.895+03:00",,"0"
"2022-01-22T07:51:28.328+03:00",,"0"
"2022-01-22T08:01:27.562+03:00",,"1"
"2022-01-22T08:01:34.454+03:00",,"0"
"2022-01-22T08:14:07.184+03:00",,"1"
"2022-01-22T08:14:07.870+03:00",,"0"
"2022-01-22T09:51:31.471+03:00",,"0"
"2022-01-22T10:51:32.390+03:00",,"0"
"2022-01-22T11:51:33.892+03:00",,"0"
"2022-01-22T12:51:41.225+03:00",,"0"
"2022-01-22T13:48:05.205+03:00",,"1"
"2022-01-22T13:48:58.046+03:00",,"0"
"2022-01-22T13:51:35.334+03:00",,"0"
"2022-01-22T14:51:38.653+03:00",,"0"
"2022-01-22T14:57:44.938+03:00",,"1"
"2022-01-22T14:57:52.942+03:00",,"0"
"2022-01-22T15:06:01.073+03:00",,"1"
"2022-01-22T15:06:16.332+03:00",,"0"
"2022-01-22T15:07:45.009+03:00",,"1"
"2022-01-22T15:08:10.036+03:00",,"0"
"2022-01-22T15:27:53.115+03:00",,"1"
"2022-01-22T15:27:59.407+03:00",,"0"
"2022-01-22T15:49:06.614+03:00",,"1"
"2022-01-22T15:51:38.278+03:00",,"1"
"2022-01-22T15:52:06.142+03:00",,"0"
"2022-01-22T15:56:18.448+03:00",,"1"
"2022-01-22T15:57:49.000+03:00",,"0"
"2022-01-22T16:30:30.037+03:00",,"1"
"2022-01-22T16:32:08.552+03:00",,"0"
"2022-01-22T16:51:42.192+03:00",,"0"
"2022-01-22T16:54:10.089+03:00",,"1"
"2022-01-22T16:56:01.896+03:00",,"0"
"2022-01-22T16:57:48.672+03:00",,"1"
"2022-01-22T16:58:02.446+03:00",,"0"
"2022-01-22T17:00:44.216+03:00",,"1"
"2022-01-22T17:00:48.879+03:00",,"0"
"2022-01-22T17:04:39.572+03:00",,"1"
"2022-01-22T17:04:46.887+03:00",,"0"
"2022-01-22T17:14:34.335+03:00",,"1"
"2022-01-22T17:14:39.129+03:00",,"0"
"2022-01-22T17:32:35.162+03:00",,"1"
"2022-01-22T17:32:37.536+03:00",,"0"
"2022-01-22T17:33:09.675+03:00",,"1"
"2022-01-22T17:33:29.713+03:00",,"0"
"2022-01-22T17:33:33.104+03:00",,"1"
"2022-01-22T17:33:44.647+03:00",,"0"
"2022-01-22T17:51:43.197+03:00",,"0"
"2022-01-22T17:53:25.171+03:00",,"1"
"2022-01-22T17:53:30.598+03:00",,"0"
"2022-01-22T17:59:00.137+03:00",,"1"
"2022-01-22T17:59:18.547+03:00",,"0"
"2022-01-22T17:59:44.926+03:00",,"1"
"2022-01-22T17:59:49.936+03:00",,"0"
"2022-01-22T18:00:20.376+03:00",,"1"
"2022-01-22T18:00:54.076+03:00",,"0"
"2022-01-22T18:09:41.533+03:00",,"1"
"2022-01-22T18:09:46.082+03:00",,"0"
"2022-01-22T18:30:54.161+03:00",,"1"
"2022-01-22T18:31:07.692+03:00",,"0"
"2022-01-22T18:51:45.948+03:00",,"0"
"2022-01-22T18:51:48.850+03:00",,"1"
"2022-01-22T18:51:57.385+03:00",,"0"
"2022-01-22T18:52:08.637+03:00",,"1"
"2022-01-22T18:53:44.346+03:00",,"0"
"2022-01-22T19:35:28.281+03:00",,"1"
"2022-01-22T19:35:35.657+03:00",,"0"
"2022-01-22T19:51:46.787+03:00",,"0"
"2022-01-22T19:53:46.160+03:00",,"1"
"2022-01-22T19:53:52.836+03:00",,"0"
"2022-01-22T20:05:14.890+03:00",,"1"
"2022-01-22T20:05:44.815+03:00",,"0"
"2022-01-22T20:51:48.755+03:00",,"0"
"2022-01-22T21:17:36.656+03:00",,"0"
"2022-01-22T21:33:08.769+03:00",,"0"
"2022-01-22T21:36:18.450+03:00",,"0"
"2022-01-22T21:38:44.948+03:00",,"0"
"2022-01-22T21:43:57.978+03:00",,"0"
"2022-01-22T21:51:50.318+03:00",,"0"
"2022-01-22T22:03:06.549+03:00",,"0"
"2022-01-22T22:11:33.613+03:00",,"0"
"2022-01-22T22:13:55.083+03:00",,"0"
"2022-01-22T22:28:40.204+03:00",,"1"
"2022-01-22T22:29:09.726+03:00",,"0"
"2022-01-22T22:32:17.829+03:00",,"1"
"2022-01-22T22:32:20.231+03:00",,"0"
"2022-01-22T22:38:44.985+03:00",,"0"
"2022-01-22T22:41:01.552+03:00",,"1"
"2022-01-22T22:41:22.187+03:00",,"0"
"2022-01-22T22:42:28.172+03:00",,"0"
"2022-01-22T22:42:36.281+03:00",,"1"
"2022-01-22T22:42:58.798+03:00",,"0"
"2022-01-22T22:44:21.857+03:00",,"0"
"2022-01-22T22:46:04.075+03:00",,"1"
"2022-01-22T22:46:23.514+03:00",,"0"
"2022-01-22T22:48:22.326+03:00",,"1"
"2022-01-22T22:49:11.985+03:00",,"0"
"2022-01-22T22:50:30.930+03:00",,"1"
"2022-01-22T22:51:50.116+03:00",,"1"
"2022-01-22T22:51:52.978+03:00",,"0"
"2022-01-22T22:53:47.948+03:00",,"0"
"2022-01-22T22:57:09.014+03:00",,"0"
"2022-01-22T23:00:18.327+03:00",,"0"
"2022-01-22T23:01:55.798+03:00",,"0"
"2022-01-22T23:14:28.845+03:00",,"0"
"2022-01-22T23:28:09.584+03:00",,"1"
"2022-01-22T23:31:30.113+03:00",,"1"
"2022-01-22T23:31:31.454+03:00",,"0"
"2022-01-22T23:51:53.667+03:00",,"0"
"2022-01-23T00:51:55.072+03:00",,"0"
"2022-01-23T01:51:57.207+03:00",,"0"
"2022-01-23T02:51:59.337+03:00",,"0"
"2022-01-23T03:51:59.906+03:00",,"0"
"2022-01-23T04:52:02.457+03:00",,"0"
